disease,page_url,image_url,filename
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection/Allergic-contact-dermatitis/allergic-contact-dermatitis-0024.jpg,f044ff75d18965ec1d2479a0418c4290.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection/Atopic-hand-dermatitis/atopic-hand-dermatitis-0001.jpg,89e0b6ad996d569a6a9aef9189926fab.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection/Discoid-eczema/discoid-eczema-0002.jpg,b7adb8c3ebb30ecceb5daed901fcd2b6.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection/Atopic-dermatitis/atopic-dermatitis-0002.jpg,1b746d72b98d9b3d925b0f8084049bcb.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/images/home-page-pro-waitlist.webp,8f3dada5050923cb6795d48c289b6e7b.webp
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection/Allergic-contact-dermatitis/allergic-contact-dermatitis-0003.jpg,a7556f72df807b4e2413eb539ba2a189.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection/Pityriasis-alba/pityriasis-alba-0001.jpg,83c69c4bb559e5708796d7067fee463e.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection/Discoid-eczema/discoid-eczema-0001.jpg,436a0307cda25717587928fe991ac795.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection/Hand-dermatitis/hand-dermatitis-0001.jpg,d9fd4ad92fa0d16e1846ecf542a300b0.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection/Seborrhoeic-dermatitis/seborrhoeic-dermatitis-0050.jpg,91321907477b245d6465437aae5ac604.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection/Allergic-contact-dermatitis/allergic-contact-dermatitis-0025.jpg,0043d58dbddb7fe9325b03385625cc59.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection-O/Hand-dermatitis/hand-dermatitis-00018.jpg,36fd038aada8d061666a1c6d2bb5afd4.jpg
dermatitis,https://dermnetnz.org/topics/dermatitis,https://dermnetnz.org/assets/collection-O/Hand-dermatitis/hand-dermatitis-00019.jpg,74f3e9cecf21b970de1b39be05a9c0c3.jpg
dermatitis,https://dermnetnz.org/topics/ciclosporin,https://dermnetnz.org/assets/Uploads/treatments/csa-htrichosis2.jpg,4b2b0de058f86ea0e72189f2eaaed498.jpg
dermatitis,https://dermnetnz.org/topics/ciclosporin,https://dermnetnz.org/assets/Uploads/treatments/csa-gums.jpg,fb05ec27fa964a093af886c1126d1d28.jpg
dermatitis,https://dermnetnz.org/topics/ciclosporin,https://dermnetnz.org/assets/Uploads/scaly/thick3.jpg,6d787c757f562d31bf26e36a833b011f.jpg
dermatitis,https://dermnetnz.org/topics/ciclosporin,https://dermnetnz.org/assets/Uploads/doctors/emergencies/images/pyodgan4.jpg,a2b11758e4536e9d64a6b48aaa5f6099.jpg
dermatitis,https://dermnetnz.org/topics/ciclosporin,https://dermnetnz.org/assets/Uploads/dermatitis/flexural-eczema27.jpg,2bf9dc3072b4a36e34e1c284e517b9ac.jpg
dermatitis,https://dermnetnz.org/topics/ciclosporin,https://dermnetnz.org/assets/Uploads/treatments/csa-htrichosis1.jpg,f729a021d5e4fbc6d42a77a8655fd58f.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/scaly/ps-e4.jpg,4d032bd53cf54af7d9f83638ba22d6dc.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/psorkai2.jpg,1e784d18cb8c5f2b1941147d35a21fd6.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/scaly/guttate-psoriasis/2763.jpg,342accb490ef6610fd32e844fbf97fb8.jpg
dermatitis,https://dermnetnz.org/topics/meyerson-naevus,https://dermnetnz.org/assets/Uploads/lesions/meyerson1.jpg,bad0b8df08a64ff9b6fdfc1e03e800c5.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/scaly/w/scalp-psoriasis-03.jpg,da58e0d89caa081c98376a61aedde806.jpg
dermatitis,https://dermnetnz.org/topics/meyerson-naevus,https://dermnetnz.org/assets/Uploads/lesions/meyerson2.jpg,e25940af34764343fb15a99b932f14af.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/scaly/w/sebopsoriasis-1.jpg,864390e77e8cafa8b493b4e77e5162b0.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/scaly/ps3.jpg,cf45440a24da57aa8abd98fef67e9d94.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/scaly/s/sebopsorkorv.jpg,d7bd9107258ab9d4676de9b172e3d54d.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/scaly/w/sebopsoriasis-3.jpg,d03ba73ba9d4687e0104f3f693ac573b.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/collection-O/Psoriasis-in-skin-of-colour/plaque-psoriasis-skin-of-colour-00001.jpg,0b523d74b9760410ef1281b10f76030d.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/hair-nails-sweat/a/nail-psoriasis-pitting-oil-spots.jpg,3feeee93580f92014387c03ac4b9e8b7.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/psoriatic-nail-004.jpg,ab693e05e85e3e8c584226e5a687c795.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/scaly/ppps42.jpg,b3e9cb4c6a1fad828dbd68cdb8136fb3.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/chronic-plaque-psoriasis-019.jpg,9ab07fd925bd0603a561fd460809b855.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/scaly/a/flexural-psoriasis.jpg,25ee412d19b049f44f6a2d38fc884867.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/collection-O/Psoriasis-in-skin-of-colour/plaque-psoriasis-skin-of-colour-00002.jpg,ad9628ef616e198084b11d4d68f58060.jpg
dermatitis,https://dermnetnz.org/topics/psoriasis,https://dermnetnz.org/assets/Uploads/doctors/emergencies/images/ps-e1.jpg,f5471f3072f8b9f4187334be2f9865cb.jpg
dermatitis,https://dermnetnz.org/topics/bacterial-skin-infections,https://dermnetnz.org/assets/collection/Atypical-mycobacteria-infection/atypical-mycobacteria-infection-0002.jpg,06d4c8de6796411a6a49d8adc3687488.jpg
